age_group,state,gender,break_year,slope1,slope2,mean_last_5_years
75-84 years,District of Columbia,Female,2015,-0.12705501322985716,-0.05443106127288064,2.3073075829029124
75-84 years,District of Columbia,Male,2014,-0.2043434917811145,-0.10837000607249042,3.4524358110637023
75-84 years,District of Columbia,Total,2014,-0.15225305122798163,-0.07901959353988819,2.7673285940183603
75-84 years,Florida,Female,2010,-0.14877235416118897,-0.031132880982507022,1.744771315218205
75-84 years,Florida,Male,2009,-0.21543505642964328,-0.04502355997581642,2.9499895201736654
75-84 years,Florida,Total,2010,-0.16877253533841483,-0.03372007472947228,2.291576127052602
75-84 years,Georgia,Female,2012,-0.15806866509645628,-0.016327080967827756,2.406908900366794
75-84 years,Georgia,Male,2011,-0.25962983436372183,-0.01841360033949277,3.7410800209596524
75-84 years,Georgia,Total,2011,-0.19539974553758513,-0.019359862172297404,2.9834534081248902
75-84 years,Hawaii,Female,2007,-0.11671453785850422,-0.0275495262337299,1.4581190208847967
75-84 years,Hawaii,Male,2019,-0.08909918586181441,0.014825630880881,2.718726401676772
75-84 years,Hawaii,Total,2011,-0.09870164443502157,-0.025625453053596703,2.0398834100500376
75-84 years,Idaho,Female,2010,-0.11470004640930792,-0.012873287450521659,1.9507397260273973
75-84 years,Idaho,Male,2008,-0.2150212956824584,-0.025376883999884997,3.1730246275918854
75-84 years,Idaho,Total,2009,-0.14906314989108743,-0.01635480157852162,2.531243544529366
75-84 years,Illinois,Female,2010,-0.1521767904216247,-0.03575688777687662,2.119470619058313
75-84 years,Illinois,Male,2008,-0.28074514284553187,-0.05507789966449109,3.380297627067894
75-84 years,Illinois,Total,2009,-0.1943479849522105,-0.041697480358707045,2.667115097876281
75-84 years,Indiana,Female,2011,-0.14345688944386462,-0.013870470772334637,2.4906046859794895
75-84 years,Indiana,Male,2009,-0.23976391329657995,-0.0388419871193528,3.8592279362227715
75-84 years,Indiana,Total,2010,-0.17456407247019887,-0.02223920404495,3.0894230404026835
75-84 years,Iowa,Female,2011,-0.10882149069999958,0.006184349705571468,2.320652893180627
75-84 years,Iowa,Male,2010,-0.2111667835675006,-0.0026378407552423155,3.6900859345759414
75-84 years,Iowa,Total,2011,-0.1400678676692791,0.008998398720496598,2.9352450644071126
75-84 years,Kansas,Female,2011,-0.12033932847766236,0.0015101321896741765,2.228542106445093
75-84 years,Kansas,Male,2010,-0.20886584868059968,0.004817218404850415,3.5966159143648477
75-84 years,Kansas,Total,2010,-0.1572528045297117,0.0017923362874769644,2.841074877332255
75-84 years,Kentucky,Female,2011,-0.18676460359595354,-0.014422844449343358,2.6934281009057566
75-84 years,Kentucky,Male,2008,-0.3121793212736148,-0.03968321389918944,4.234299872744965
75-84 years,Kentucky,Total,2010,-0.21851892027755707,-0.019579818116295694,3.369410054762298
75-84 years,Louisiana,Female,2011,-0.1286787946938407,-0.018898677737662614,2.885023879032862
75-84 years,Louisiana,Male,2011,-0.18716243255542625,-0.008696260431270225,4.5711713451605664
75-84 years,Louisiana,Total,2011,-0.14736964553290147,-0.011635515316827133,3.616244296509003
75-84 years,Maine,Female,2009,-0.1706515974512907,-0.009530587463790985,2.103984280260499
75-84 years,Maine,Male,2010,-0.22026828615622576,-0.010604530715058513,3.3120091324200915
75-84 years,Maine,Total,2009,-0.1928950423416132,-0.010444159015807114,2.659662700537931
75-84 years,Maryland,Female,2011,-0.134746779116867,-0.050009190184352834,2.008448087431694
75-84 years,Maryland,Male,2010,-0.19496307258772377,-0.06307967242202114,3.1860678194475636
75-84 years,Maryland,Total,2011,-0.15062800527758455,-0.051825209401120384,2.5133673947607935
75-84 years,Massachusetts,Female,2011,-0.1207247760515221,-0.04488976997667758,1.5666509469271654
75-84 years,Massachusetts,Male,2010,-0.20381208213295565,-0.06154664749407651,2.725797589639943
75-84 years,Massachusetts,Total,2011,-0.14488173126335666,-0.047366087134172924,2.0699536530281244
75-84 years,Michigan,Female,2010,-0.16211664638004564,-0.025629542181579534,2.6246141178231905
75-84 years,Michigan,Male,2009,-0.24704716226905787,-0.03747354914305237,4.0274349876487765
75-84 years,Michigan,Total,2009,-0.1977611724160094,-0.0308795604763466,3.2515931394681514
75-84 years,Minnesota,Female,2009,-0.12418151974898682,0.0019121793910480273,1.5918291788307508
75-84 years,Minnesota,Male,2008,-0.22985720502005727,-0.025360087402959586,2.6071455947301443
75-84 years,Minnesota,Total,2009,-0.1545486223337911,-0.005325154899378487,2.053091946383251
75-84 years,Mississippi,Female,2012,-0.17697672868756661,-0.0209556361255529,3.0717146493000973
75-84 years,Mississippi,Male,2011,-0.2349139106853011,-0.02392550676943178,4.833634403772737
75-84 years,Mississippi,Total,2012,-0.1885466990296599,-0.014551470349006501,3.829765718262562
75-84 years,Missouri,Female,2010,-0.16319370559565194,-0.026664200394686977,2.555433191107119
75-84 years,Missouri,Male,2009,-0.2840198665114061,-0.02557585460952555,4.050932554831948
75-84 years,Missouri,Total,2010,-0.19715880053504994,-0.020409834129040433,3.213912679130927
75-84 years,Montana,Female,2010,-0.10639043558772535,-0.00422994004697369,2.11470783741298
75-84 years,Montana,Male,2007,-0.2266928170129042,-0.018431928375762324,3.3924392544352124
75-84 years,Montana,Total,2007,-0.17003309525048121,-0.013615172125781366,2.7337232390245214
75-84 years,Nebraska,Female,2008,-0.16222055467377022,-0.012097864979645073,1.9323146942136389
75-84 years,Nebraska,Male,2009,-0.2190549958831859,-0.016625654885812358,3.2704462908900367
75-84 years,Nebraska,Total,2009,-0.1729360854030155,-0.008957441194246046,2.535655001015408
75-84 years,Nevada,Female,2009,-0.13885192556053716,-0.022347247142557203,2.5257791750879557
75-84 years,Nevada,Male,2009,-0.18196994375169465,-0.02503000543679612,4.155308331461936
75-84 years,Nevada,Total,2009,-0.15306635890997605,-0.02288620861165208,3.294329583298931
75-84 years,New Hampshire,Female,2010,-0.1543249163677175,-0.02869681085047207,1.943963170896025
75-84 years,New Hampshire,Male,2010,-0.21455281282025435,-0.033412842661489195,3.1755523617037205
75-84 years,New Hampshire,Total,2010,-0.1737545794509712,-0.027978401802934594,2.510718369105271
75-84 years,New Jersey,Female,2011,-0.15541944257304696,-0.049782677137718626,1.9264732390148964
75-84 years,New Jersey,Male,2008,-0.26967077009491314,-0.08750718835362481,3.131470768770117
75-84 years,New Jersey,Total,2009,-0.19794731056534212,-0.0664815780261522,2.4433465836559223
75-84 years,New Mexico,Female,2014,-0.08870249938793333,0.007829524871917945,2.037843700875814
75-84 years,New Mexico,Male,2010,-0.1768606303443158,0.00717024332443128,3.2630714873867803
75-84 years,New Mexico,Total,2012,-0.11807076386163448,0.008119757225069829,2.599878198859009
75-84 years,New York,Female,2012,-0.1676244896442002,-0.06612863083696868,2.048546747511041
75-84 years,New York,Male,2011,-0.24504240554880605,-0.08767570375744627,3.2803158919080766
75-84 years,New York,Total,2011,-0.1970538126748241,-0.07645848773560913,2.575099751970319
75-84 years,North Carolina,Female,2012,-0.15016383574511621,-0.011723287952023098,2.0992273373755523
75-84 years,North Carolina,Male,2011,-0.23148844198361393,-0.025585400119421897,3.420597948948275
75-84 years,North Carolina,Total,2011,-0.1814994036166325,-0.019206505958161035,2.677489976077972
75-84 years,North Dakota,Female,2010,-0.10334936675712553,0.004196413919034678,1.9452390148963246
75-84 years,North Dakota,Male,2012,-0.21119011334334978,0.009963527634392455,3.329882925368665
75-84 years,North Dakota,Total,2011,-0.14720163975106215,0.0075273155140901105,2.5863732094249228
75-84 years,Ohio,Female,2009,-0.1793682380852595,-0.023566597471773698,2.518010180402725
75-84 years,Ohio,Male,2009,-0.2554908030359215,-0.03608658565948897,3.866542106445093
75-84 years,Ohio,Total,2009,-0.20410792369172792,-0.026359298193506853,3.104679829621164
75-84 years,Oklahoma,Female,2012,-0.15743795833685498,0.043601542155951994,3.6041947750580134
75-84 years,Oklahoma,Male,2012,-0.22700061314294487,0.0801912029425624,5.504975372408114
75-84 years,Oklahoma,Total,2012,-0.18106802676914208,0.06073048971697992,4.4412763516604015
75-84 years,Oregon,Female,2012,-0.1038115327927685,-0.00589546987179089,1.7668047009506698
75-84 years,Oregon,Male,2009,-0.1983219906173823,-0.02705431772961492,2.9265298300771017
75-84 years,Oregon,Total,2010,-0.14037032362442603,-0.016257943129016295,2.299389238934559
75-84 years,Pennsylvania,Female,2010,-0.15797828109279702,-0.0386642933721299,2.2386416647952694
75-84 years,Pennsylvania,Male,2008,-0.2577425075492157,-0.06593039577631848,3.593674526536417
75-84 years,Pennsylvania,Total,2009,-0.1909735465625902,-0.047345345840499486,2.830394742220843
75-84 years,Rhode Island,Female,2011,-0.142934524117996,-0.03583638638478072,1.9956700351822743
75-84 years,Rhode Island,Male,2010,-0.1884062941830036,-0.07283639506055099,3.1841979190059133
75-84 years,Rhode Island,Total,2011,-0.1536186023079638,-0.04554635540424022,2.517929297799572
75-84 years,South Carolina,Female,2009,-0.18278524284847789,-0.028625446619551076,2.226402575043042
75-84 years,South Carolina,Male,2012,-0.2104347464164571,-0.017592157105618178,3.57463447862864
75-84 years,South Carolina,Total,2010,-0.18888147783705578,-0.025747004495813075,2.8302830609182705
75-84 years,South Dakota,Female,2008,-0.13233502523610147,-0.02014156285020749,1.8447588891384086
75-84 years,South Dakota,Male,2011,-0.1782454137506911,-0.007444411997746675,3.295564488359907
75-84 years,South Dakota,Total,2011,-0.13494638837290346,-0.0035359915739160974,2.523636875527063
75-84 years,Tennessee,Female,2011,-0.16825983973524974,-0.007149447021443406,2.8155602964293736
75-84 years,Tennessee,Male,2011,-0.24166688328264807,0.00907785809020939,4.371310577139008
75-84 years,Tennessee,Total,2011,-0.19056715836999966,0.0028107437719451234,3.5019460986296496
75-84 years,Texas,Female,2011,-0.1607008591794129,-0.0191063865063415,2.2939724530279215
75-84 years,Texas,Male,2010,-0.23154582380669422,-0.023517641947072843,3.653059211018789
75-84 years,Texas,Total,2011,-0.17941589043676062,-0.01551022558821391,2.894637419922556
75-84 years,Utah,Female,2012,-0.0843875604764378,0.002413048225707315,2.2455900890785236
75-84 years,Utah,Male,2009,-0.1727405889430869,-0.016840077779281204,3.072310053147691
75-84 years,Utah,Total,2010,-0.12084501438198364,-0.007727632036509738,2.628991590975274
75-84 years,Vermont,Female,2010,-0.14623531220092223,-0.030013460006619336,1.8787861366868774
75-84 years,Vermont,Male,2009,-0.21260953521315754,-0.025960196921804818,3.253902088479676
75-84 years,Vermont,Total,2010,-0.16181403456603186,-0.02229414945074143,2.5148041990348853
75-84 years,Virginia,Female,2012,-0.13594484670333346,-0.02147627149029778,2.057760910247773
75-84 years,Virginia,Male,2011,-0.21414692696412924,-0.026684967335315196,3.3293304888090427
75-84 years,Virginia,Total,2012,-0.15731583000525165,-0.018010691374111626,2.6184306075123693
75-84 years,Washington,Female,2013,-0.10750655354742496,-0.014240458911467344,1.7496658432517402
75-84 years,Washington,Male,2012,-0.1666187486704142,-0.026862172351490493,2.9059113706115727
75-84 years,Washington,Total,2012,-0.1304903135410495,-0.0217096801527754,2.2774495789844558
75-84 years,West Virginia,Female,2014,-0.15917327378037505,0.010275115907211113,2.8225150086084287
75-84 years,West Virginia,Male,2013,-0.23769222872344395,0.015492782163565838,4.232809042593009
75-84 years,West Virginia,Total,2014,-0.18125452091091104,0.02366952757810742,3.4657576506969456
75-84 years,Wisconsin,Female,2009,-0.14136974521538176,-0.011312229852564498,2.142209746238491
75-84 years,Wisconsin,Male,2008,-0.279894280555839,-0.03214413164602911,3.4419983531701477
75-84 years,Wisconsin,Total,2009,-0.18276758978680357,-0.013962885334220188,2.7364388356192526
75-84 years,Wyoming,Female,2014,-0.07650239552827291,-0.012659864651353686,2.10895516131447
75-84 years,Wyoming,Male,2008,-0.25381574750043356,-0.026453691385189215,3.3026368740175167
75-84 years,Wyoming,Total,2008,-0.15909633062242634,-0.02834876792207583,2.686650342105991
