age_group,state,gender,break_year,slope1,slope2,mean_last_5_years
75-84 years,Alabama,Female,2014,-0.11982969095013503,0.00949425116089471,3.067483344561719
75-84 years,Alabama,Male,2009,-0.2300951864630279,-0.024088286910442958,4.633450707388278
75-84 years,Alabama,Total,2011,-0.15496582070875084,-0.010026016633307738,3.743342462605562
75-84 years,Alaska,Female,2004,-0.29007143489678705,-0.04971466125823401,1.5858137585148588
75-84 years,Alaska,Male,2011,-0.13580383037378324,-0.050634925022079585,2.6272343738303765
75-84 years,Alaska,Total,2010,-0.14356731330674383,-0.0369718786376651,2.098646097550402
75-84 years,Arizona,Female,2013,-0.11564481175934135,0.004118660863551865,1.8758643611048733
75-84 years,Arizona,Male,2013,-0.16079323638991302,0.017195800099460423,3.0695188262594506
75-84 years,Arizona,Total,2013,-0.13222980856472813,0.009657193764644717,2.4289221541082835
75-84 years,Arkansas,Female,2010,-0.14891713589312489,-0.00640518124584083,2.9284130548693765
75-84 years,Arkansas,Male,2008,-0.25416835037662333,-0.004650992389725911,4.5919166105247395
75-84 years,Arkansas,Total,2009,-0.18315571228931474,-0.003255741245610594,3.664467916074018
75-84 years,California,Female,2012,-0.14413916078599678,-0.03844258912564302,1.7340763530204355
75-84 years,California,Male,2010,-0.23410488145346459,-0.050040685902170645,2.9324425480949174
75-84 years,California,Total,2011,-0.1769661975707109,-0.04205081091050411,2.263708229917235
75-84 years,Colorado,Female,2012,-0.0992235306279992,-0.01527882523074571,1.6307987124784789
75-84 years,Colorado,Male,2011,-0.17077096643905548,-0.030694335382410676,2.5287877835167305
75-84 years,Colorado,Total,2011,-0.12788706339390765,-0.02311942199800182,2.041069926060211
75-84 years,Connecticut,Female,2005,-0.18400316224955646,-0.05969605497689877,1.5814730144471891
75-84 years,Connecticut,Male,2006,-0.28637796900829915,-0.07406523423433856,2.7478634628340446
75-84 years,Connecticut,Total,2005,-0.2345284161165716,-0.06499859732352448,2.0919105218935803
75-84 years,Delaware,Female,2010,-0.1855427160004959,-0.04100341632859508,1.9884742869975298
75-84 years,Delaware,Male,2009,-0.2873756126040444,-0.03840399889948201,3.253234673253986
75-84 years,Delaware,Total,2009,-0.22793327672128502,-0.04194889651589062,2.5582185027667697
