"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","State","State Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"55-64 years","55-64","Alabama","01","1999","1999","Female","F",55,216486,25.4
,"55-64 years","55-64","Alabama","01","1999","1999","Male","M",75,194056,38.6
,"55-64 years","55-64","Alabama","01","2000","2000","Female","F",47,218838,21.5
,"55-64 years","55-64","Alabama","01","2000","2000","Male","M",78,196694,39.7
,"55-64 years","55-64","Alabama","01","2001","2001","Female","F",63,223539,28.2
,"55-64 years","55-64","Alabama","01","2001","2001","Male","M",84,201485,41.7
,"55-64 years","55-64","Alabama","01","2002","2002","Female","F",64,234530,27.3
,"55-64 years","55-64","Alabama","01","2002","2002","Male","M",81,212993,38.0
,"55-64 years","55-64","Alabama","01","2003","2003","Female","F",64,243415,26.3
,"55-64 years","55-64","Alabama","01","2003","2003","Male","M",89,222255,40.0
,"55-64 years","55-64","Alabama","01","2004","2004","Female","F",64,253296,25.3
,"55-64 years","55-64","Alabama","01","2004","2004","Male","M",99,232067,42.7
,"55-64 years","55-64","Alabama","01","2005","2005","Female","F",75,263210,28.5
,"55-64 years","55-64","Alabama","01","2005","2005","Male","M",101,241277,41.9
,"55-64 years","55-64","Alabama","01","2006","2006","Female","F",68,273519,24.9
,"55-64 years","55-64","Alabama","01","2006","2006","Male","M",106,250793,42.3
,"55-64 years","55-64","Alabama","01","2007","2007","Female","F",70,282783,24.8
,"55-64 years","55-64","Alabama","01","2007","2007","Male","M",80,259292,30.9
,"55-64 years","55-64","Alabama","01","2008","2008","Female","F",61,290035,21.0
,"55-64 years","55-64","Alabama","01","2008","2008","Male","M",93,266305,34.9
,"55-64 years","55-64","Alabama","01","2009","2009","Female","F",62,298994,20.7
,"55-64 years","55-64","Alabama","01","2009","2009","Male","M",96,273893,35.1
,"55-64 years","55-64","Alabama","01","2010","2010","Female","F",61,306797,19.9
,"55-64 years","55-64","Alabama","01","2010","2010","Male","M",111,281236,39.5
,"55-64 years","55-64","Alabama","01","2011","2011","Female","F",65,318639,20.4
,"55-64 years","55-64","Alabama","01","2011","2011","Male","M",110,291585,37.7
,"55-64 years","55-64","Alabama","01","2012","2012","Female","F",70,321543,21.8
,"55-64 years","55-64","Alabama","01","2012","2012","Male","M",123,293865,41.9
,"55-64 years","55-64","Alabama","01","2013","2013","Female","F",80,325850,24.6
,"55-64 years","55-64","Alabama","01","2013","2013","Male","M",108,296949,36.4
,"55-64 years","55-64","Alabama","01","2014","2014","Female","F",70,329505,21.2
,"55-64 years","55-64","Alabama","01","2014","2014","Male","M",140,299971,46.7
,"55-64 years","55-64","Alabama","01","2015","2015","Female","F",77,334123,23.0
,"55-64 years","55-64","Alabama","01","2015","2015","Male","M",135,303874,44.4
,"55-64 years","55-64","Alabama","01","2016","2016","Female","F",78,337993,23.1
,"55-64 years","55-64","Alabama","01","2016","2016","Male","M",146,307099,47.5
,"55-64 years","55-64","Alabama","01","2017","2017","Female","F",82,341133,24.0
,"55-64 years","55-64","Alabama","01","2017","2017","Male","M",154,309412,49.8
,"55-64 years","55-64","Alabama","01","2018","2018","Female","F",74,343624,21.5
,"55-64 years","55-64","Alabama","01","2018","2018","Male","M",125,311555,40.1
,"55-64 years","55-64","Alabama","01","2019","2019","Female","F",91,344792,26.4
,"55-64 years","55-64","Alabama","01","2019","2019","Male","M",140,312875,44.7
,"55-64 years","55-64","Alabama","01","2020","2020","Female","F",117,344359,34.0
,"55-64 years","55-64","Alabama","01","2020","2020","Male","M",164,312922,52.4
,"55-64 years","55-64","Alaska","02","1999","1999","Female","F",0,20168,Unreliable
,"55-64 years","55-64","Alaska","02","1999","1999","Male","M",Suppressed,23173,Suppressed
,"55-64 years","55-64","Alaska","02","2000","2000","Female","F",0,20844,Unreliable
,"55-64 years","55-64","Alaska","02","2000","2000","Male","M",Suppressed,23906,Suppressed
,"55-64 years","55-64","Alaska","02","2001","2001","Female","F",Suppressed,22200,Suppressed
,"55-64 years","55-64","Alaska","02","2001","2001","Male","M",0,25443,Unreliable
,"55-64 years","55-64","Alaska","02","2002","2002","Female","F",Suppressed,24370,Suppressed
,"55-64 years","55-64","Alaska","02","2002","2002","Male","M",Suppressed,28058,Suppressed
,"55-64 years","55-64","Alaska","02","2003","2003","Female","F",Suppressed,26162,Suppressed
,"55-64 years","55-64","Alaska","02","2003","2003","Male","M",Suppressed,30106,Suppressed
,"55-64 years","55-64","Alaska","02","2004","2004","Female","F",Suppressed,28370,Suppressed
,"55-64 years","55-64","Alaska","02","2004","2004","Male","M",Suppressed,32618,Suppressed
,"55-64 years","55-64","Alaska","02","2005","2005","Female","F",Suppressed,30403,Suppressed
,"55-64 years","55-64","Alaska","02","2005","2005","Male","M",Suppressed,35104,Suppressed
,"55-64 years","55-64","Alaska","02","2006","2006","Female","F",Suppressed,32349,Suppressed
,"55-64 years","55-64","Alaska","02","2006","2006","Male","M",Suppressed,37404,Suppressed
,"55-64 years","55-64","Alaska","02","2007","2007","Female","F",0,34318,Unreliable
,"55-64 years","55-64","Alaska","02","2007","2007","Male","M",Suppressed,39361,Suppressed
,"55-64 years","55-64","Alaska","02","2008","2008","Female","F",Suppressed,36348,Suppressed
,"55-64 years","55-64","Alaska","02","2008","2008","Male","M",Suppressed,41619,Suppressed
,"55-64 years","55-64","Alaska","02","2009","2009","Female","F",Suppressed,38763,Suppressed
,"55-64 years","55-64","Alaska","02","2009","2009","Male","M",Suppressed,44312,Suppressed
,"55-64 years","55-64","Alaska","02","2010","2010","Female","F",Suppressed,40284,Suppressed
,"55-64 years","55-64","Alaska","02","2010","2010","Male","M",Suppressed,45625,Suppressed
,"55-64 years","55-64","Alaska","02","2011","2011","Female","F",Suppressed,42894,Suppressed
,"55-64 years","55-64","Alaska","02","2011","2011","Male","M",Suppressed,47991,Suppressed
,"55-64 years","55-64","Alaska","02","2012","2012","Female","F",0,44158,Unreliable
,"55-64 years","55-64","Alaska","02","2012","2012","Male","M",Suppressed,48658,Suppressed
,"55-64 years","55-64","Alaska","02","2013","2013","Female","F",Suppressed,44312,Suppressed
,"55-64 years","55-64","Alaska","02","2013","2013","Male","M",Suppressed,48508,Suppressed
,"55-64 years","55-64","Alaska","02","2014","2014","Female","F",Suppressed,44639,Suppressed
,"55-64 years","55-64","Alaska","02","2014","2014","Male","M",Suppressed,48411,Suppressed
,"55-64 years","55-64","Alaska","02","2015","2015","Female","F",Suppressed,45160,Suppressed
,"55-64 years","55-64","Alaska","02","2015","2015","Male","M",Suppressed,48464,Suppressed
,"55-64 years","55-64","Alaska","02","2016","2016","Female","F",Suppressed,46100,Suppressed
,"55-64 years","55-64","Alaska","02","2016","2016","Male","M",Suppressed,49222,Suppressed
,"55-64 years","55-64","Alaska","02","2017","2017","Female","F",Suppressed,46245,Suppressed
,"55-64 years","55-64","Alaska","02","2017","2017","Male","M",Suppressed,49121,Suppressed
,"55-64 years","55-64","Alaska","02","2018","2018","Female","F",Suppressed,45975,Suppressed
,"55-64 years","55-64","Alaska","02","2018","2018","Male","M",Suppressed,48627,Suppressed
,"55-64 years","55-64","Alaska","02","2019","2019","Female","F",Suppressed,45269,Suppressed
,"55-64 years","55-64","Alaska","02","2019","2019","Male","M",Suppressed,48070,Suppressed
,"55-64 years","55-64","Alaska","02","2020","2020","Female","F",Suppressed,44296,Suppressed
,"55-64 years","55-64","Alaska","02","2020","2020","Male","M",Suppressed,47240,Suppressed
,"55-64 years","55-64","Arizona","04","1999","1999","Female","F",11,224305,Unreliable
,"55-64 years","55-64","Arizona","04","1999","1999","Male","M",19,203442,Unreliable
,"55-64 years","55-64","Arizona","04","2000","2000","Female","F",12,231962,Unreliable
,"55-64 years","55-64","Arizona","04","2000","2000","Male","M",15,210410,Unreliable
,"55-64 years","55-64","Arizona","04","2001","2001","Female","F",Suppressed,243300,Suppressed
,"55-64 years","55-64","Arizona","04","2001","2001","Male","M",18,221049,Unreliable
,"55-64 years","55-64","Arizona","04","2002","2002","Female","F",Suppressed,259998,Suppressed
,"55-64 years","55-64","Arizona","04","2002","2002","Male","M",11,236953,Unreliable
,"55-64 years","55-64","Arizona","04","2003","2003","Female","F",Suppressed,276088,Suppressed
,"55-64 years","55-64","Arizona","04","2003","2003","Male","M",23,251298,9.2
,"55-64 years","55-64","Arizona","04","2004","2004","Female","F",11,292897,Unreliable
,"55-64 years","55-64","Arizona","04","2004","2004","Male","M",22,266773,8.2
,"55-64 years","55-64","Arizona","04","2005","2005","Female","F",16,312274,Unreliable
,"55-64 years","55-64","Arizona","04","2005","2005","Male","M",14,284720,Unreliable
,"55-64 years","55-64","Arizona","04","2006","2006","Female","F",11,331379,Unreliable
,"55-64 years","55-64","Arizona","04","2006","2006","Male","M",28,301884,9.3
,"55-64 years","55-64","Arizona","04","2007","2007","Female","F",Suppressed,345568,Suppressed
,"55-64 years","55-64","Arizona","04","2007","2007","Male","M",23,314829,7.3
,"55-64 years","55-64","Arizona","04","2008","2008","Female","F",10,357174,Unreliable
,"55-64 years","55-64","Arizona","04","2008","2008","Male","M",20,325075,6.2
,"55-64 years","55-64","Arizona","04","2009","2009","Female","F",10,369577,Unreliable
,"55-64 years","55-64","Arizona","04","2009","2009","Male","M",20,335251,6.0
,"55-64 years","55-64","Arizona","04","2010","2010","Female","F",Suppressed,380609,Suppressed
,"55-64 years","55-64","Arizona","04","2010","2010","Male","M",27,345619,7.8
,"55-64 years","55-64","Arizona","04","2011","2011","Female","F",15,396693,Unreliable
,"55-64 years","55-64","Arizona","04","2011","2011","Male","M",22,359537,6.1
,"55-64 years","55-64","Arizona","04","2012","2012","Female","F",15,401281,Unreliable
,"55-64 years","55-64","Arizona","04","2012","2012","Male","M",18,363552,Unreliable
,"55-64 years","55-64","Arizona","04","2013","2013","Female","F",Suppressed,407830,Suppressed
,"55-64 years","55-64","Arizona","04","2013","2013","Male","M",30,369020,8.1
,"55-64 years","55-64","Arizona","04","2014","2014","Female","F",12,417103,Unreliable
,"55-64 years","55-64","Arizona","04","2014","2014","Male","M",23,376811,6.1
,"55-64 years","55-64","Arizona","04","2015","2015","Female","F",16,427277,Unreliable
,"55-64 years","55-64","Arizona","04","2015","2015","Male","M",36,386424,9.3
,"55-64 years","55-64","Arizona","04","2016","2016","Female","F",18,436323,Unreliable
,"55-64 years","55-64","Arizona","04","2016","2016","Male","M",36,394819,9.1
,"55-64 years","55-64","Arizona","04","2017","2017","Female","F",23,443427,5.2
,"55-64 years","55-64","Arizona","04","2017","2017","Male","M",39,402826,9.7
,"55-64 years","55-64","Arizona","04","2018","2018","Female","F",21,453093,4.6
,"55-64 years","55-64","Arizona","04","2018","2018","Male","M",63,413184,15.2
,"55-64 years","55-64","Arizona","04","2019","2019","Female","F",35,460049,7.6
,"55-64 years","55-64","Arizona","04","2019","2019","Male","M",46,420745,10.9
,"55-64 years","55-64","Arizona","04","2020","2020","Female","F",30,466773,6.4
,"55-64 years","55-64","Arizona","04","2020","2020","Male","M",77,428136,18.0
,"55-64 years","55-64","Arkansas","05","1999","1999","Female","F",33,131136,25.2
,"55-64 years","55-64","Arkansas","05","1999","1999","Male","M",31,119881,25.9
,"55-64 years","55-64","Arkansas","05","2000","2000","Female","F",20,133913,14.9
,"55-64 years","55-64","Arkansas","05","2000","2000","Male","M",39,122870,31.7
,"55-64 years","55-64","Arkansas","05","2001","2001","Female","F",24,136736,17.6
,"55-64 years","55-64","Arkansas","05","2001","2001","Male","M",42,125992,33.3
,"55-64 years","55-64","Arkansas","05","2002","2002","Female","F",26,143679,18.1
,"55-64 years","55-64","Arkansas","05","2002","2002","Male","M",28,132792,21.1
,"55-64 years","55-64","Arkansas","05","2003","2003","Female","F",11,148639,Unreliable
,"55-64 years","55-64","Arkansas","05","2003","2003","Male","M",26,137956,18.8
,"55-64 years","55-64","Arkansas","05","2004","2004","Female","F",18,154024,Unreliable
,"55-64 years","55-64","Arkansas","05","2004","2004","Male","M",14,143634,Unreliable
,"55-64 years","55-64","Arkansas","05","2005","2005","Female","F",14,159434,Unreliable
,"55-64 years","55-64","Arkansas","05","2005","2005","Male","M",28,148637,18.8
,"55-64 years","55-64","Arkansas","05","2006","2006","Female","F",17,164859,Unreliable
,"55-64 years","55-64","Arkansas","05","2006","2006","Male","M",34,153834,22.1
,"55-64 years","55-64","Arkansas","05","2007","2007","Female","F",26,169412,15.3
,"55-64 years","55-64","Arkansas","05","2007","2007","Male","M",40,158511,25.2
,"55-64 years","55-64","Arkansas","05","2008","2008","Female","F",22,173251,12.7
,"55-64 years","55-64","Arkansas","05","2008","2008","Male","M",34,162061,21.0
,"55-64 years","55-64","Arkansas","05","2009","2009","Female","F",15,177789,Unreliable
,"55-64 years","55-64","Arkansas","05","2009","2009","Male","M",30,165860,18.1
,"55-64 years","55-64","Arkansas","05","2010","2010","Female","F",16,181700,Unreliable
,"55-64 years","55-64","Arkansas","05","2010","2010","Male","M",32,169291,18.9
,"55-64 years","55-64","Arkansas","05","2011","2011","Female","F",23,188533,12.2
,"55-64 years","55-64","Arkansas","05","2011","2011","Male","M",26,175066,14.9
,"55-64 years","55-64","Arkansas","05","2012","2012","Female","F",18,189157,Unreliable
,"55-64 years","55-64","Arkansas","05","2012","2012","Male","M",45,174995,25.7
,"55-64 years","55-64","Arkansas","05","2013","2013","Female","F",30,190685,15.7
,"55-64 years","55-64","Arkansas","05","2013","2013","Male","M",46,176280,26.1
,"55-64 years","55-64","Arkansas","05","2014","2014","Female","F",45,192076,23.4
,"55-64 years","55-64","Arkansas","05","2014","2014","Male","M",39,177597,22.0
,"55-64 years","55-64","Arkansas","05","2015","2015","Female","F",38,194468,19.5
,"55-64 years","55-64","Arkansas","05","2015","2015","Male","M",50,180052,27.8
,"55-64 years","55-64","Arkansas","05","2016","2016","Female","F",42,196379,21.4
,"55-64 years","55-64","Arkansas","05","2016","2016","Male","M",65,181966,35.7
,"55-64 years","55-64","Arkansas","05","2017","2017","Female","F",41,198167,20.7
,"55-64 years","55-64","Arkansas","05","2017","2017","Male","M",52,183689,28.3
,"55-64 years","55-64","Arkansas","05","2018","2018","Female","F",45,199462,22.6
,"55-64 years","55-64","Arkansas","05","2018","2018","Male","M",62,185005,33.5
,"55-64 years","55-64","Arkansas","05","2019","2019","Female","F",42,200176,21.0
,"55-64 years","55-64","Arkansas","05","2019","2019","Male","M",66,185818,35.5
,"55-64 years","55-64","Arkansas","05","2020","2020","Female","F",54,200163,27.0
,"55-64 years","55-64","Arkansas","05","2020","2020","Male","M",77,186037,41.4
,"55-64 years","55-64","California","06","1999","1999","Female","F",102,1319908,7.7
,"55-64 years","55-64","California","06","1999","1999","Male","M",107,1223139,8.7
,"55-64 years","55-64","California","06","2000","2000","Female","F",81,1356785,6.0
,"55-64 years","55-64","California","06","2000","2000","Male","M",121,1257308,9.6
,"55-64 years","55-64","California","06","2001","2001","Female","F",79,1414777,5.6
,"55-64 years","55-64","California","06","2001","2001","Male","M",122,1313640,9.3
,"55-64 years","55-64","California","06","2002","2002","Female","F",90,1506733,6.0
,"55-64 years","55-64","California","06","2002","2002","Male","M",157,1402754,11.2
,"55-64 years","55-64","California","06","2003","2003","Female","F",109,1585922,6.9
,"55-64 years","55-64","California","06","2003","2003","Male","M",149,1476641,10.1
,"55-64 years","55-64","California","06","2004","2004","Female","F",113,1661110,6.8
,"55-64 years","55-64","California","06","2004","2004","Male","M",154,1544835,10.0
,"55-64 years","55-64","California","06","2005","2005","Female","F",108,1735963,6.2
,"55-64 years","55-64","California","06","2005","2005","Male","M",174,1616930,10.8
,"55-64 years","55-64","California","06","2006","2006","Female","F",149,1805575,8.3
,"55-64 years","55-64","California","06","2006","2006","Male","M",191,1682305,11.4
,"55-64 years","55-64","California","06","2007","2007","Female","F",121,1873090,6.5
,"55-64 years","55-64","California","06","2007","2007","Male","M",172,1745333,9.9
,"55-64 years","55-64","California","06","2008","2008","Female","F",132,1939797,6.8
,"55-64 years","55-64","California","06","2008","2008","Male","M",185,1809088,10.2
,"55-64 years","55-64","California","06","2009","2009","Female","F",102,2021341,5.0
,"55-64 years","55-64","California","06","2009","2009","Male","M",201,1884209,10.7
,"55-64 years","55-64","California","06","2010","2010","Female","F",121,2087346,5.8
,"55-64 years","55-64","California","06","2010","2010","Male","M",186,1949147,9.5
,"55-64 years","55-64","California","06","2011","2011","Female","F",124,2182069,5.7
,"55-64 years","55-64","California","06","2011","2011","Male","M",200,2037687,9.8
,"55-64 years","55-64","California","06","2012","2012","Female","F",123,2225786,5.5
,"55-64 years","55-64","California","06","2012","2012","Male","M",209,2078087,10.1
,"55-64 years","55-64","California","06","2013","2013","Female","F",136,2275101,6.0
,"55-64 years","55-64","California","06","2013","2013","Male","M",223,2128335,10.5
,"55-64 years","55-64","California","06","2014","2014","Female","F",154,2333467,6.6
,"55-64 years","55-64","California","06","2014","2014","Male","M",267,2186133,12.2
,"55-64 years","55-64","California","06","2015","2015","Female","F",156,2386715,6.5
,"55-64 years","55-64","California","06","2015","2015","Male","M",323,2243148,14.4
,"55-64 years","55-64","California","06","2016","2016","Female","F",208,2415118,8.6
,"55-64 years","55-64","California","06","2016","2016","Male","M",339,2273600,14.9
,"55-64 years","55-64","California","06","2017","2017","Female","F",177,2450872,7.2
,"55-64 years","55-64","California","06","2017","2017","Male","M",378,2311806,16.4
,"55-64 years","55-64","California","06","2018","2018","Female","F",196,2456773,8.0
,"55-64 years","55-64","California","06","2018","2018","Male","M",407,2324453,17.5
,"55-64 years","55-64","California","06","2019","2019","Female","F",225,2455116,9.2
,"55-64 years","55-64","California","06","2019","2019","Male","M",450,2331519,19.3
,"55-64 years","55-64","California","06","2020","2020","Female","F",241,2437984,9.9
,"55-64 years","55-64","California","06","2020","2020","Male","M",548,2324437,23.6
,"55-64 years","55-64","Colorado","08","1999","1999","Female","F",Suppressed,167246,Suppressed
,"55-64 years","55-64","Colorado","08","1999","1999","Male","M",Suppressed,161800,Suppressed
,"55-64 years","55-64","Colorado","08","2000","2000","Female","F",17,172223,Unreliable
,"55-64 years","55-64","Colorado","08","2000","2000","Male","M",Suppressed,167084,Suppressed
,"55-64 years","55-64","Colorado","08","2001","2001","Female","F",12,181370,Unreliable
,"55-64 years","55-64","Colorado","08","2001","2001","Male","M",10,176624,Unreliable
,"55-64 years","55-64","Colorado","08","2002","2002","Female","F",10,196201,Unreliable
,"55-64 years","55-64","Colorado","08","2002","2002","Male","M",13,191359,Unreliable
,"55-64 years","55-64","Colorado","08","2003","2003","Female","F",12,209195,Unreliable
,"55-64 years","55-64","Colorado","08","2003","2003","Male","M",17,204480,Unreliable
,"55-64 years","55-64","Colorado","08","2004","2004","Female","F",12,221319,Unreliable
,"55-64 years","55-64","Colorado","08","2004","2004","Male","M",12,216641,Unreliable
,"55-64 years","55-64","Colorado","08","2005","2005","Female","F",16,235778,Unreliable
,"55-64 years","55-64","Colorado","08","2005","2005","Male","M",13,230162,Unreliable
,"55-64 years","55-64","Colorado","08","2006","2006","Female","F",12,250306,Unreliable
,"55-64 years","55-64","Colorado","08","2006","2006","Male","M",20,244418,8.2
,"55-64 years","55-64","Colorado","08","2007","2007","Female","F",10,264948,Unreliable
,"55-64 years","55-64","Colorado","08","2007","2007","Male","M",13,258484,Unreliable
,"55-64 years","55-64","Colorado","08","2008","2008","Female","F",10,278667,Unreliable
,"55-64 years","55-64","Colorado","08","2008","2008","Male","M",22,270978,8.1
,"55-64 years","55-64","Colorado","08","2009","2009","Female","F",20,292920,6.8
,"55-64 years","55-64","Colorado","08","2009","2009","Male","M",20,284297,7.0
,"55-64 years","55-64","Colorado","08","2010","2010","Female","F",16,303489,Unreliable
,"55-64 years","55-64","Colorado","08","2010","2010","Male","M",25,294155,8.5
,"55-64 years","55-64","Colorado","08","2011","2011","Female","F",14,319710,Unreliable
,"55-64 years","55-64","Colorado","08","2011","2011","Male","M",24,308910,7.8
,"55-64 years","55-64","Colorado","08","2012","2012","Female","F",13,326872,Unreliable
,"55-64 years","55-64","Colorado","08","2012","2012","Male","M",27,315006,8.6
,"55-64 years","55-64","Colorado","08","2013","2013","Female","F",22,334900,6.6
,"55-64 years","55-64","Colorado","08","2013","2013","Male","M",32,321261,10.0
,"55-64 years","55-64","Colorado","08","2014","2014","Female","F",16,342404,Unreliable
,"55-64 years","55-64","Colorado","08","2014","2014","Male","M",33,327882,10.1
,"55-64 years","55-64","Colorado","08","2015","2015","Female","F",20,350468,5.7
,"55-64 years","55-64","Colorado","08","2015","2015","Male","M",43,335092,12.8
,"55-64 years","55-64","Colorado","08","2016","2016","Female","F",27,357920,7.5
,"55-64 years","55-64","Colorado","08","2016","2016","Male","M",41,341390,12.0
,"55-64 years","55-64","Colorado","08","2017","2017","Female","F",21,361672,5.8
,"55-64 years","55-64","Colorado","08","2017","2017","Male","M",46,344808,13.3
,"55-64 years","55-64","Colorado","08","2018","2018","Female","F",21,364075,5.8
,"55-64 years","55-64","Colorado","08","2018","2018","Male","M",45,346525,13.0
,"55-64 years","55-64","Colorado","08","2019","2019","Female","F",32,365065,8.8
,"55-64 years","55-64","Colorado","08","2019","2019","Male","M",51,347948,14.7
,"55-64 years","55-64","Colorado","08","2020","2020","Female","F",32,362781,8.8
,"55-64 years","55-64","Colorado","08","2020","2020","Male","M",53,345964,15.3
,"55-64 years","55-64","Connecticut","09","1999","1999","Female","F",10,157350,Unreliable
,"55-64 years","55-64","Connecticut","09","1999","1999","Male","M",Suppressed,145109,Suppressed
,"55-64 years","55-64","Connecticut","09","2000","2000","Female","F",12,160583,Unreliable
,"55-64 years","55-64","Connecticut","09","2000","2000","Male","M",17,148030,Unreliable
,"55-64 years","55-64","Connecticut","09","2001","2001","Female","F",11,166233,Unreliable
,"55-64 years","55-64","Connecticut","09","2001","2001","Male","M",Suppressed,153381,Suppressed
,"55-64 years","55-64","Connecticut","09","2002","2002","Female","F",Suppressed,177531,Suppressed
,"55-64 years","55-64","Connecticut","09","2002","2002","Male","M",11,163483,Unreliable
,"55-64 years","55-64","Connecticut","09","2003","2003","Female","F",Suppressed,185778,Suppressed
,"55-64 years","55-64","Connecticut","09","2003","2003","Male","M",11,171089,Unreliable
,"55-64 years","55-64","Connecticut","09","2004","2004","Female","F",10,192839,Unreliable
,"55-64 years","55-64","Connecticut","09","2004","2004","Male","M",16,177450,Unreliable
,"55-64 years","55-64","Connecticut","09","2005","2005","Female","F",13,199489,Unreliable
,"55-64 years","55-64","Connecticut","09","2005","2005","Male","M",13,183726,Unreliable
,"55-64 years","55-64","Connecticut","09","2006","2006","Female","F",Suppressed,206349,Suppressed
,"55-64 years","55-64","Connecticut","09","2006","2006","Male","M",Suppressed,189897,Suppressed
,"55-64 years","55-64","Connecticut","09","2007","2007","Female","F",12,211796,Unreliable
,"55-64 years","55-64","Connecticut","09","2007","2007","Male","M",15,195718,Unreliable
,"55-64 years","55-64","Connecticut","09","2008","2008","Female","F",Suppressed,216388,Suppressed
,"55-64 years","55-64","Connecticut","09","2008","2008","Male","M",10,200102,Unreliable
,"55-64 years","55-64","Connecticut","09","2009","2009","Female","F",12,223365,Unreliable
,"55-64 years","55-64","Connecticut","09","2009","2009","Male","M",16,207419,Unreliable
,"55-64 years","55-64","Connecticut","09","2010","2010","Female","F",Suppressed,229814,Suppressed
,"55-64 years","55-64","Connecticut","09","2010","2010","Male","M",12,213638,Unreliable
,"55-64 years","55-64","Connecticut","09","2011","2011","Female","F",11,239199,Unreliable
,"55-64 years","55-64","Connecticut","09","2011","2011","Male","M",Suppressed,222464,Suppressed
,"55-64 years","55-64","Connecticut","09","2012","2012","Female","F",Suppressed,241762,Suppressed
,"55-64 years","55-64","Connecticut","09","2012","2012","Male","M",16,225711,Unreliable
,"55-64 years","55-64","Connecticut","09","2013","2013","Female","F",Suppressed,246380,Suppressed
,"55-64 years","55-64","Connecticut","09","2013","2013","Male","M",13,231003,Unreliable
,"55-64 years","55-64","Connecticut","09","2014","2014","Female","F",10,251543,Unreliable
,"55-64 years","55-64","Connecticut","09","2014","2014","Male","M",20,235718,8.5
,"55-64 years","55-64","Connecticut","09","2015","2015","Female","F",Suppressed,256325,Suppressed
,"55-64 years","55-64","Connecticut","09","2015","2015","Male","M",12,240641,Unreliable
,"55-64 years","55-64","Connecticut","09","2016","2016","Female","F",12,260519,Unreliable
,"55-64 years","55-64","Connecticut","09","2016","2016","Male","M",25,244036,10.2
,"55-64 years","55-64","Connecticut","09","2017","2017","Female","F",12,263698,Unreliable
,"55-64 years","55-64","Connecticut","09","2017","2017","Male","M",30,246821,12.2
,"55-64 years","55-64","Connecticut","09","2018","2018","Female","F",Suppressed,264509,Suppressed
,"55-64 years","55-64","Connecticut","09","2018","2018","Male","M",35,247296,14.2
,"55-64 years","55-64","Connecticut","09","2019","2019","Female","F",14,265580,Unreliable
,"55-64 years","55-64","Connecticut","09","2019","2019","Male","M",29,247875,11.7
,"55-64 years","55-64","Connecticut","09","2020","2020","Female","F",17,265459,Unreliable
,"55-64 years","55-64","Connecticut","09","2020","2020","Male","M",25,247336,10.1
,"55-64 years","55-64","Delaware","10","1999","1999","Female","F",Suppressed,36656,Suppressed
,"55-64 years","55-64","Delaware","10","1999","1999","Male","M",Suppressed,33230,Suppressed
,"55-64 years","55-64","Delaware","10","2000","2000","Female","F",Suppressed,37529,Suppressed
,"55-64 years","55-64","Delaware","10","2000","2000","Male","M",Suppressed,33990,Suppressed
,"55-64 years","55-64","Delaware","10","2001","2001","Female","F",Suppressed,38918,Suppressed
,"55-64 years","55-64","Delaware","10","2001","2001","Male","M",Suppressed,35324,Suppressed
,"55-64 years","55-64","Delaware","10","2002","2002","Female","F",Suppressed,41617,Suppressed
,"55-64 years","55-64","Delaware","10","2002","2002","Male","M",Suppressed,37963,Suppressed
,"55-64 years","55-64","Delaware","10","2003","2003","Female","F",Suppressed,44137,Suppressed
,"55-64 years","55-64","Delaware","10","2003","2003","Male","M",Suppressed,40029,Suppressed
,"55-64 years","55-64","Delaware","10","2004","2004","Female","F",Suppressed,46562,Suppressed
,"55-64 years","55-64","Delaware","10","2004","2004","Male","M",Suppressed,42007,Suppressed
,"55-64 years","55-64","Delaware","10","2005","2005","Female","F",Suppressed,49068,Suppressed
,"55-64 years","55-64","Delaware","10","2005","2005","Male","M",Suppressed,44059,Suppressed
,"55-64 years","55-64","Delaware","10","2006","2006","Female","F",Suppressed,51555,Suppressed
,"55-64 years","55-64","Delaware","10","2006","2006","Male","M",12,46169,Unreliable
,"55-64 years","55-64","Delaware","10","2007","2007","Female","F",Suppressed,53677,Suppressed
,"55-64 years","55-64","Delaware","10","2007","2007","Male","M",Suppressed,47550,Suppressed
,"55-64 years","55-64","Delaware","10","2008","2008","Female","F",Suppressed,55587,Suppressed
,"55-64 years","55-64","Delaware","10","2008","2008","Male","M",Suppressed,49190,Suppressed
,"55-64 years","55-64","Delaware","10","2009","2009","Female","F",Suppressed,57221,Suppressed
,"55-64 years","55-64","Delaware","10","2009","2009","Male","M",Suppressed,50433,Suppressed
,"55-64 years","55-64","Delaware","10","2010","2010","Female","F",Suppressed,58866,Suppressed
,"55-64 years","55-64","Delaware","10","2010","2010","Male","M",Suppressed,52063,Suppressed
,"55-64 years","55-64","Delaware","10","2011","2011","Female","F",Suppressed,61515,Suppressed
,"55-64 years","55-64","Delaware","10","2011","2011","Male","M",Suppressed,54717,Suppressed
,"55-64 years","55-64","Delaware","10","2012","2012","Female","F",Suppressed,62472,Suppressed
,"55-64 years","55-64","Delaware","10","2012","2012","Male","M",Suppressed,55243,Suppressed
,"55-64 years","55-64","Delaware","10","2013","2013","Female","F",Suppressed,64162,Suppressed
,"55-64 years","55-64","Delaware","10","2013","2013","Male","M",Suppressed,56665,Suppressed
,"55-64 years","55-64","Delaware","10","2014","2014","Female","F",0,65849,Unreliable
