disease_category,age_group,state,gender,changepoint_year,slope1,slope2,change_in_slope,slope2_p_value,significance_label,mean_rate_last_5y,n_years_used,first_year
ischemic,85+ years,Indiana,Total,2009,-0.4508825,-0.1323050,0.3185775,0.0000000,significant_decrease,4.824517934,27,1999
ischemic,85+ years,Florida,Female,2011,-0.5853439,-0.1321691,0.4531748,0.0000000,significant_decrease,4.367831867,27,1999
ischemic,85+ years,North Carolina,Female,2011,-0.4252012,-0.1261779,0.2990233,0.0000000,significant_decrease,3.357122875,27,1999
ischemic,85+ years,Ohio,Total,2012,-0.4429550,-0.1257468,0.3172082,0.0000000,significant_decrease,5.375629069,27,1999
ischemic,85+ years,Arizona,Male,2014,-0.3307929,-0.1251733,0.2056196,0.0000589,significant_decrease,5.929395095,27,1999
ischemic,85+ years,West Virginia,Male,2011,-0.5088950,-0.1238284,0.3850665,0.0009279,significant_decrease,7.126510222,27,1999
ischemic,85+ years,Arkansas,Female,2014,-0.2703995,-0.1235301,0.1468694,0.0002471,significant_decrease,4.798201726,27,1999
ischemic,85+ years,North Carolina,Male,2011,-0.4242207,-0.1226593,0.3015614,0.0000000,significant_decrease,5.549900039,27,1999
ischemic,85+ years,Missouri,Total,2014,-0.4662947,-0.1185373,0.3477573,0.0000000,significant_decrease,4.918982189,27,1999
ischemic,85+ years,South Carolina,Total,2007,-0.4593242,-0.1179703,0.3413539,0.0000000,significant_decrease,3.900889334,27,1999
ischemic,85+ years,North Dakota,Female,2017,-0.2930878,-0.1178384,0.1752494,0.0102322,significant_decrease,3.120043461,27,1999
ischemic,85+ years,South Carolina,Female,2007,-0.4699852,-0.1176243,0.3523609,0.0000000,significant_decrease,3.140087769,27,1999
ischemic,85+ years,North Carolina,Total,2011,-0.4155441,-0.1161749,0.2993691,0.0000000,significant_decrease,4.136187528,27,1999
ischemic,85+ years,West Virginia,Total,2010,-0.5168747,-0.1125340,0.4043407,0.0000107,significant_decrease,6.043001142,27,1999
ischemic,85+ years,Wyoming,Male,2006,-0.5864309,-0.1125150,0.4739159,0.0009126,significant_decrease,5.335278034,27,1999
ischemic,85+ years,Ohio,Male,2012,-0.4636130,-0.1108572,0.3527558,0.0000013,significant_decrease,7.168054772,27,1999
ischemic,85+ years,West Virginia,Female,2010,-0.5231179,-0.1102138,0.4129041,0.0000379,significant_decrease,5.398203762,27,1999
